location,list_price,unit_price,number_bedroom,number_bathroom,area,type
"Johor Bahru, Johor","RM 1,688,000","(RM 5,235 / m2)",,,322.47 m2,Commercial
"Pontian, Johor","RM 8,811,756",,,,"45,480 m2",
"Kinta, Perak","RM 218,800","(RM 2,145 / m2)",4,2,102 m2,House
"Johor Bahru, Johor","RM 538,000",,3,2,130 m2,House
"Johor Bahru, Johor","RM 1,280,000",(RM 512 / m2),6,,"2,500 m2",House
"Johor Bahru, Johor","RM 568,000","(RM 4,369 / m2)",3,,130 m2,House
Johor,"RM 650,000","(RM 4,221 / m2)",5,,154 m2,House
"Sepang, Selangor","RM 250,000",,,,,Condo
"Johor Bahru, Johor","RM 1,400,000",,4,3,"3,116 m2",House
"Johor Bahru, Johor","RM 1,400,000","(RM 5,185 / m2)",5,4,270 m2,House
"Johor Bahru, Johor","RM 1,400,000","(RM 5,185 / m2)",5,4,270 m2,House
"Sepang, Selangor","RM 230,000","(RM 4,952 / m2)",2,1,46.45 m2,Condo
"Sepang, Selangor","RM 230,000","(RM 5,502 / m2)",2,1,41.8 m2,Condo
"Sepang, Selangor","RM 230,000","(RM 5,502 / m2)",2,1,41.8 m2,Condo
"Sepang, Selangor","RM 230,000","(RM 4,952 / m2)",2,1,46.45 m2,Condo
"Sepang, Selangor","RM 230,000","(RM 5,502 / m2)",2,1,41.8 m2,Condo
"Johor Bahru, Johor","RM 1,050,000","(RM 4,468 / m2)",5,3,235 m2,House
"Johor Bahru, Johor","RM 1,050,000","(RM 4,468 / m2)",5,3,235 m2,House
"Johor Bahru, Johor","RM 738,000","(RM 4,011 / m2)",4,3,184 m2,House
"Johor Bahru, Johor","RM 1,250,000","(RM 3,888 / m2)",5,6,321.5 m2,House
"Johor Bahru, Johor","RM 690,000","(RM 2,840 / m2)",4,5,242.93 m2,Townhouse
"Sepang, Selangor","RM 230,000","(RM 4,952 / m2)",2,1,46.45 m2,Condo
"Sepang, Selangor","RM 230,000","(RM 5,502 / m2)",2,1,41.8 m2,Condo
"Sepang, Selangor","RM 230,000","(RM 5,502 / m2)",2,1,41.8 m2,Condo
"Johor Bahru, Johor","RM 1,200,000","(RM 3,226 / m2)",5,4,372 m2,House
"Johor Bahru, Johor","RM 697,000","(RM 22,733 / m2)",1,1,30.66 m2,Serviced Apartment
"Johor Bahru, Johor","RM 995,000","(RM 5,378 / m2)",4,3,185 m2,House
"Johor Bahru, Johor","RM 995,000","(RM 5,378 / m2)",4,3,185 m2,House
"Johor Bahru, Johor","RM 408,000",,2,,"2,300 m2",House
"Johor Bahru, Johor","RM 348,000",(RM 328 / m2),3,,"1,060 m2",Serviced Apartment
"Johor Bahru, Johor","RM 618,000","(RM 2,687 / m2)",4,3,230 m2,House
"Johor Bahru, Johor","RM 508,000","(RM 4,704 / m2)",4,,108 m2,House
"Johor Bahru, Johor","RM 410,000","(RM 3,832 / m2)",3,2,107 m2,Apartment
"Sepang, Selangor","RM 210,000",,2,1,,Serviced Apartment
"Muar, Johor","RM 468,000","(RM 3,271 / m2)",3,2,143.07 m2,House
"Johor Bahru, Johor","RM 550,000",(RM 393 / m2),3,,"1,400 m2",House
"Sepang, Selangor","RM 230,000",,2,1,,Serviced Apartment
Johor,"RM 778,000",,5,5,"3,200 m2",House
"Sepang, Selangor","RM 230,000","(RM 5,502 / m2)",2,1,41.8 m2,Condo
"Sepang, Selangor","RM 380,000","(RM 3,146 / m2)",5,3,120.77 m2,Condo
"Sepang, Selangor","RM 230,000","(RM 4,952 / m2)",2,1,46.45 m2,Condo
"Sepang, Selangor","RM 230,000","(RM 5,502 / m2)",2,1,41.8 m2,Condo
"Sepang, Selangor","RM 380,000","(RM 3,146 / m2)",5,3,120.77 m2,Condo
"Sepang, Selangor","RM 230,000","(RM 4,952 / m2)",2,1,46.45 m2,Condo
"Sepang, Selangor","RM 230,000","(RM 5,502 / m2)",2,1,41.8 m2,Condo
"Sepang, Selangor","RM 230,000","(RM 4,952 / m2)",2,1,46.45 m2,Condo
"Sepang, Selangor","RM 230,000","(RM 5,502 / m2)",2,1,41.8 m2,Condo
"Sepang, Selangor","RM 230,000","(RM 4,952 / m2)",2,1,46.45 m2,Condo
"Sepang, Selangor","RM 230,000","(RM 4,952 / m2)",2,1,46.45 m2,Condo
"Sepang, Selangor","RM 230,000","(RM 5,502 / m2)",2,1,41.8 m2,Condo
"Sepang, Selangor","RM 230,000","(RM 4,952 / m2)",2,1,46.45 m2,Condo
"Sepang, Selangor","RM 230,000","(RM 5,502 / m2)",2,1,41.8 m2,Condo
"Sepang, Selangor","RM 230,000","(RM 4,952 / m2)",2,1,46.45 m2,Condo
"Sepang, Selangor","RM 230,000","(RM 5,502 / m2)",2,1,41.8 m2,Condo
"Sepang, Selangor","RM 230,000",(RM 11 / m2),2,1,"21,367 m2",Condo
"Sepang, Selangor","RM 230,000","(RM 5,502 / m2)",2,1,41.8 m2,Condo
"Sepang, Selangor","RM 230,000","(RM 4,952 / m2)",2,1,46.45 m2,Condo
"Ulu Langat, Selangor","RM 300,000","(RM 3,357 / m2)",3,2,89.37 m2,Condo
"Ulu Langat, Selangor","RM 300,000","(RM 3,357 / m2)",3,2,89.37 m2,Condo
"Sepang, Selangor","RM 230,000","(RM 4,952 / m2)",2,1,46.45 m2,Condo
"Sepang, Selangor","RM 300,000","(RM 3,357 / m2)",3,2,89.37 m2,Condo
"Sepang, Selangor","RM 230,000","(RM 5,502 / m2)",2,1,41.8 m2,Condo
"Ulu Langat, Selangor","RM 300,000","(RM 3,357 / m2)",3,2,89.37 m2,Condo
"Sepang, Selangor","RM 230,000","(RM 5,502 / m2)",2,1,41.8 m2,Condo
"Sepang, Selangor","RM 230,000","(RM 4,952 / m2)",2,1,46.45 m2,Condo
"Sepang, Selangor","RM 230,000","(RM 4,952 / m2)",2,1,46.45 m2,Condo
"Sepang, Selangor","RM 230,000","(RM 5,502 / m2)",2,1,41.8 m2,Condo
"Sepang, Selangor","RM 230,000","(RM 4,952 / m2)",2,1,46.45 m2,Condo
"Sepang, Selangor","RM 230,000","(RM 5,502 / m2)",2,1,41.8 m2,Condo
"Sepang, Selangor","RM 230,000","(RM 5,502 / m2)",2,1,41.8 m2,Condo
"Johor Bahru, Johor","RM 590,000","(RM 3,849 / m2)",4,3,153.28 m2,House
"Johor Bahru, Johor","RM 620,000","(RM 5,167 / m2)",4,,120 m2,House
"Sepang, Selangor","RM 225,000",,2,2,,Condo
"Sepang, Selangor","RM 225,000",,2,2,,Condo
"Sepang, Selangor","RM 225,000",,2,2,,Condo
"Sepang, Selangor","RM 210,000",,1,1,,Condo
"Sepang, Selangor","RM 210,000",,1,1,,Condo
"Sepang, Selangor","RM 210,000",,2,1,,Condo
"Sepang, Selangor","RM 230,000",,2,1,,Condo
"Sepang, Selangor","RM 210,000",,2,1,,Serviced Apartment
"Sepang, Selangor","RM 230,000",,2,1,,Condo
"Sepang, Selangor","RM 230,000",,2,1,,Condo
"Sepang, Selangor","RM 230,000",,1,1,,Condo
"Sepang, Selangor","RM 230,000",,2,1,,Condo
"Sepang, Selangor","RM 210,000",,1,1,,Condo
"Sepang, Selangor","RM 210,000",,1,1,,Serviced Apartment
"Sepang, Selangor","RM 250,000",,2,1,,Condo
"Sepang, Selangor","RM 225,000",,2,1,,Condo
"Putrajaya, Putrajaya","RM 210,000",,2,1,,Serviced Apartment
"Putrajaya, Putrajaya","RM 210,000",,2,1,,Serviced Apartment
"Johor Bahru, Johor","RM 280,000",(RM 269 / m2),4,2,"1,040 m2",House
"Johor Bahru, Johor","RM 168,000","(RM 3,288 / m2)",2,1,51.09 m2,Apartment
Johor,"RM 480,000",(RM 267 / m2),4,,"1,800 m2",House
"Ulu Langat, Selangor","RM 197,000",,2,1,,Condo
"Sepang, Selangor","RM 197,000",,2,1,,Condo
"Johor Bahru, Johor","RM 550,000","(RM 3,090 / m2)",3,2,178 m2,House
"Sepang, Selangor","RM 197,000",,2,1,,Condo
"Sepang, Selangor","RM 230,000","(RM 5,502 / m2)",2,1,41.8 m2,Condo
